county,category,date,mobility,fips,state_abbr,cases,r_star,r_star_avg,density,log_density
Bergen County,retail/recreation,2020-03-28,-70.219,34003,NJ,1838,1.1800870511425463,1.2580269938856723,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-03-29,-69.031,34003,NJ,2169,1.144306131857999,1.25322202910178,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-03-30,-58.331,34003,NJ,2482,1.1720386784850927,1.1931242702933038,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-03-31,-58.415,34003,NJ,2909,1.2011000343760743,1.1837588708666946,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-04-01,-58.514,34003,NJ,3494,1.173153978248426,1.1741371748220275,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-04-02,-62.299,34003,NJ,4099,1.1871188094657235,1.175543526486663,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-04-03,-73.56,34003,NJ,4866,1.183723797780518,1.1834270596711665,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-04-04,-75.88,34003,NJ,5760,1.0741319444444444,1.1638457128630368,4004.556886334839,8.295188213265245
Bergen County,retail/recreation,2020-04-05,-77.76,34003,NJ,6187,1.1090997252303216,1.1454456510338862,4004.556886334839,8.295188213265245
Burlington County,retail/recreation,2020-03-19,-33.389,34005,NJ,14,1.2142857142857142,1.2142857142857142,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-20,-30.822,34005,NJ,17,1.1764705882352942,1.1953781512605042,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-21,-38.83,34005,NJ,20,1.3,1.2302521008403362,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-22,-58.184,34005,NJ,26,1.3846153846153846,1.2688429217840982,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-23,-53.729,34005,NJ,36,1.1666666666666667,1.248407670760612,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-24,-44.195,34005,NJ,42,1.1428571428571428,1.2341219564748978,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-25,-50.676,34005,NJ,48,1.3333333333333333,1.2654945054945055,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-26,-43.185,34005,NJ,64,1.375,1.2804945054945054,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-27,-46.744,34005,NJ,88,1.3068181818181819,1.2649350649350648,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-28,-58.66,34005,NJ,115,1.2347826086956522,1.278558253340862,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-29,-55.706,34005,NJ,142,1.2535211267605635,1.300691050121546,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-30,-45.616,34005,NJ,178,1.1348314606741574,1.2609906755897111,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-03-31,-44.403,34005,NJ,202,1.2623762376237624,1.2384659231144635,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-04-01,-42.69,34005,NJ,255,1.1529411764705881,1.2076905220449448,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-04-02,-48.066,34005,NJ,294,1.248299319727891,1.2103938642513925,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-04-03,-64.697,34005,NJ,367,1.2779291553133516,1.2152754699619503,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-04-04,-67.128,34005,NJ,469,1.1663113006396588,1.2215714379550506,557.1791980246686,6.322886908158986
Burlington County,retail/recreation,2020-04-05,-70.111,34005,NJ,547,1.1809872029250457,1.2052936310153073,557.1791980246686,6.322886908158986
Camden County,retail/recreation,2020-03-19,-32.994,34007,NJ,11,1.3636363636363635,1.3636363636363635,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-20,-30.828,34007,NJ,15,1.0,1.1818181818181817,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-21,-40.29,34007,NJ,15,1.4666666666666666,1.2767676767676768,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-22,-55.732,34007,NJ,22,1.5,1.3325757575757575,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-23,-53.3,34007,NJ,33,1.5454545454545454,1.375151515151515,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-24,-42.542,34007,NJ,51,1.196078431372549,1.341639928698752,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-25,-49.305,34007,NJ,61,1.1967213114754098,1.380984190993834,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-26,-40.996,34007,NJ,73,1.3013698630136987,1.3479248302632403,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-27,-44.328,34007,NJ,95,1.2947368421052632,1.306872198684293,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-28,-60.347,34007,NJ,123,1.3252032520325203,1.262821939999888,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-29,-52.422,34007,NJ,163,1.2269938650306749,1.2690050267315132,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-30,-43.378,34007,NJ,200,1.14,1.257660764436431,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-03-31,-43.654,34007,NJ,228,1.2675438596491229,1.2508955637635157,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-04-01,-39.222,34007,NJ,289,1.1868512110726643,1.2293184375569959,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-04-02,-45.365,34007,NJ,343,1.183673469387755,1.201012481028043,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-04-03,-57.944,34007,NJ,406,1.1847290640394088,1.1925595208297897,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-04-04,-63.522,34007,NJ,481,1.155925155925156,1.1957445520148209,2288.1000733412648,7.73547708989165
Camden County,retail/recreation,2020-04-05,-63.436,34007,NJ,556,1.160071942446043,1.1742501685742048,2288.1000733412648,7.73547708989165
Cape May County,retail/recreation,2020-03-30,-41.193,34009,NJ,15,1.0,1.0,365.98447152358716,5.90259090497011
Cape May County,retail/recreation,2020-03-31,-39.704,34009,NJ,15,1.4666666666666666,1.2333333333333334,365.98447152358716,5.90259090497011
Cape May County,retail/recreation,2020-04-01,-38.272,34009,NJ,22,1.5454545454545454,1.3373737373737373,365.98447152358716,5.90259090497011
Cape May County,retail/recreation,2020-04-02,-41.042,34009,NJ,34,1.2941176470588236,1.3265597147950088,365.98447152358716,5.90259090497011
Cape May County,retail/recreation,2020-04-03,-58.846,34009,NJ,44,1.1363636363636365,1.2885204991087345,365.98447152358716,5.90259090497011
Cape May County,retail/recreation,2020-04-04,-62.481,34009,NJ,50,1.54,1.3965204991087343,365.98447152358716,5.90259090497011
Cape May County,retail/recreation,2020-04-05,-61.39,34009,NJ,77,1.103896103896104,1.3239663865546216,365.98447152358716,5.90259090497011
Cumberland County,retail/recreation,2020-03-28,-43.021,34011,NJ,11,1.0,1.0,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-03-29,-36.982,34011,NJ,11,1.0909090909090908,1.0454545454545454,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-03-30,-31.145,34011,NJ,12,1.5,1.196969696969697,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-03-31,-31.965,34011,NJ,18,1.5,1.2727272727272727,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-04-01,-25.258,34011,NJ,27,1.1481481481481481,1.2478114478114477,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-04-02,-32.11,34011,NJ,31,1.1612903225806452,1.2800695123275767,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-04-03,-43.364,34011,NJ,36,1.1111111111111112,1.284109916367981,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-04-04,-43.629,34011,NJ,40,1.35,1.254109916367981,309.3487305686425,5.73446921842451
Cumberland County,retail/recreation,2020-04-05,-43.001,34011,NJ,54,1.1851851851851851,1.191146953405018,309.3487305686425,5.73446921842451
Essex County,retail/recreation,2020-03-15,-13.349,34013,NJ,11,1.8181818181818181,1.8181818181818181,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-16,-13.553,34013,NJ,20,1.6,1.709090909090909,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-17,-26.721,34013,NJ,32,1.40625,1.6081439393939394,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-18,-29.762,34013,NJ,45,1.4,1.5561079545454546,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-19,-35.175,34013,NJ,63,1.1587301587301588,1.4766323953823954,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-20,-38.478,34013,NJ,73,1.4657534246575343,1.4061467166775388,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-21,-44.299,34013,NJ,107,1.6074766355140186,1.4076420437803425,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-22,-58.775,34013,NJ,172,1.5872093023255813,1.4438339042454587,6336.819929700881,8.754132333218486
Essex County,retail/recreation,2020-03-23,-58.469,34013,NJ,273,1.2527472527472527,1.414383354794909,6336.819929700881,8.754132333218486
